size,hilbert_cond,random_cond,hilbert_error,random_error
2,19.28147006790397,1.7731679224509982,6.661338147750939e-16,2.220446049250313e-16
3,524.0567775860644,15.94045430204036,8.215650382226158e-15,1.2212453270876722e-15
4,15513.73873892924,52.574618768587506,3.97237798210881e-13,3.1086244689504383e-15
5,476607.25024259434,10.07310469425682,1.1226575225009583e-12,4.440892098500626e-16
6,14951058.642254665,76.63364603957032,2.313654823282718e-10,1.1102230246251565e-15
7,475367356.583129,60.7981745577198,9.268621870006655e-09,2.886579864025407e-15
8,15257575538.060041,34.583984538290196,1.0904592673277591e-07,6.661338147750939e-16
9,493153756446.8762,71.46523120667423,8.91499750277358e-06,4.440892098500626e-15
10,16024416992541.715,568.2701815755865,0.00010924827123837133,3.907985046680551e-14
